Age,AnnualIncome,AverageTransactionValue,DiscountSensitivity,ShoppingFrequency
39,68719,1391,Medium,Frequent
29,9355,1246,Low,Frequent
35,73641,50,Low,Occasional
37,62523,1946,High,Occasional
48,55550,1845,High,Occasional
26,100937,3363,High,Occasional
49,46501,892,High,Frequent
32,51938,1419,High,Frequent
43,99831,1449,Medium,Rare
43,43358,2777,Medium,Occasional
29,48997,1105,Medium,Frequent
25,57059,1479,High,Frequent
28,76814,1808,Medium,Occasional
38,64156,1387,High,Occasional
30,34147,754,Low,Occasional
40,49356,1394,Medium,Frequent
29,47852,2274,Medium,Occasional
36,58455,173,Medium,Frequent
32,68516,1333,High,Frequent
40,68364,500,Low,Frequent
32,24479,2395,Medium,Frequent
38,81278,50,Medium,Frequent
28,65051,641,High,Frequent
52,87690,1577,High,Occasional
44,68883,2766,High,Occasional
24,82026,1134,Medium,Frequent
33,69330,645,Medium,Occasional
46,86924,3081,High,Frequent
46,70445,50,High,Frequent
30,58041,50,Low,Rare
29,105448,1640,High,Rare
38,77780,698,Medium,Rare
35,71474,179,Medium,Frequent
43,34473,1908,Medium,Rare
32,34233,1444,Medium,Rare
45,65854,636,Medium,Frequent
32,62910,50,High,Frequent
23,47717,2072,High,Frequent
29,62819,1850,Medium,Rare
45,91772,1101,Medium,Frequent
36,73908,3047,Medium,Frequent
20,37179,130,Medium,Occasional
35,57769,50,High,Occasional
46,43900,508,Medium,Occasional
46,52246,1154,Low,Frequent
25,51727,1443,High,Frequent
40,50447,959,Medium,Frequent
44,34897,1552,High,Occasional
38,57446,50,Medium,Occasional
37,48787,2644,Medium,Frequent
43,5000,1118,High,Frequent
43,101059,2317,High,Frequent
36,81775,1543,High,Occasional
28,52473,1657,High,Occasional
31,60376,1770,Low,Frequent
46,36566,1648,High,Occasional
31,93914,1843,High,Occasional
35,97945,2529,High,Occasional
30,63133,1397,Low,Rare
25,80470,1909,Medium,Frequent
45,63505,1110,High,Frequent
32,33265,2640,Medium,Occasional
32,51763,524,High,Occasional
20,62638,3001,Medium,Rare
42,50909,1160,Medium,Rare
44,55626,50,Medium,Frequent
41,58172,1328,Low,Frequent
56,58382,519,High,Frequent
36,61045,2041,High,Occasional
35,38787,547,Medium,Occasional
33,45659,754,High,Occasional
38,34308,50,High,Frequent
28,79556,748,High,Occasional
33,17887,50,High,Frequent
18,83071,50,Medium,Frequent
36,87726,1960,Medium,Occasional
21,53956,1986,Medium,Frequent
39,7937,1625,Medium,Frequent
56,52773,233,High,Frequent
33,58716,1152,Low,Frequent
38,39788,1196,Medium,Frequent
31,49695,50,High,Occasional
41,90603,2703,High,Frequent
38,73298,2077,High,Occasional
55,41508,979,High,Frequent
30,28048,1227,Medium,Occasional
35,53459,1408,High,Frequent
33,55730,50,High,Occasional
52,69923,953,High,Frequent
48,49293,518,Medium,Occasional
48,70229,198,High,Occasional
35,98703,919,High,Occasional
28,76310,2998,High,Occasional
50,59038,1841,High,Rare
24,56336,629,High,Frequent
28,52866,1773,High,Frequent
41,83612,2599,High,Occasional
47,47453,2125,Low,Frequent
37,60904,1260,Low,Occasional
42,61023,553,High,Frequent
29,49964,1898,High,Occasional
29,32550,1593,Medium,Occasional
35,66459,2095,Medium,Frequent
42,58779,1835,High,Frequent
39,70004,2250,Medium,Occasional
51,49327,665,High,Frequent
33,84416,2517,Medium,Frequent
42,42464,1398,Low,Frequent
27,94240,3275,High,Occasional
40,25047,511,Medium,Occasional
48,68695,2936,Medium,Rare
50,69508,1398,High,Occasional
56,44088,549,High,Frequent
44,68487,716,Medium,Occasional
42,85590,880,High,Occasional
35,15663,1624,Medium,Frequent
28,70054,1723,High,Frequent
21,10134,626,Medium,Rare
44,40686,1176,High,Frequent
42,92583,3342,High,Frequent
49,48364,2928,Medium,Occasional
45,36522,1636,Medium,Frequent
47,56041,1238,High,Frequent
44,101358,1320,Medium,Occasional
40,23366,1814,Low,Frequent
50,38973,177,Medium,Occasional
23,89948,943,Medium,Frequent
47,97154,50,High,Frequent
33,57931,1599,Medium,Occasional
27,35218,1847,High,Occasional
47,101916,717,Medium,Frequent
46,91888,2774,Medium,Rare
56,73578,50,High,Occasional
41,43751,50,High,Occasional
23,59019,1424,Medium,Occasional
36,56792,2247,Low,Occasional
31,66617,2884,Medium,Rare
35,89020,741,Medium,Occasional
41,77588,2279,High,Frequent
46,38452,1161,Medium,Frequent
28,87529,1027,Low,Rare
28,66262,2084,High,Frequent
35,73741,1852,High,Occasional
37,89330,50,High,Frequent
30,37768,2677,High,Occasional
34,59283,2580,High,Frequent
45,49370,574,Medium,Rare
33,28642,1596,Low,Frequent
41,66934,1694,Medium,Rare
49,110231,1461,Medium,Frequent
34,23198,650,Medium,Occasional
44,59354,528,Medium,Rare
30,72810,1174,High,Frequent
26,62461,2373,High,Occasional
32,57737,1744,High,Rare
41,34015,829,Medium,Frequent
29,64655,1972,Low,Frequent
53,44864,50,High,Frequent
26,16201,2349,Low,Occasional
40,83891,50,Medium,Occasional
33,79167,838,Medium,Frequent
37,61033,80,Medium,Occasional
19,64581,50,Medium,Frequent
30,81486,2361,High,Occasional
51,64486,732,Medium,Rare
44,78080,1547,Medium,Occasional
39,54050,1153,High,Occasional
36,86239,1677,High,Occasional
56,66415,1277,High,Frequent
44,63881,50,Low,Rare
47,34598,2196,Medium,Rare
37,65739,706,High,Frequent
39,43360,50,Medium,Occasional
37,47234,772,High,Occasional
31,43692,2701,High,Occasional
26,38675,2050,Medium,Frequent
48,102495,851,Low,Frequent
42,86626,851,Medium,Frequent
29,98407,878,High,Frequent
41,35542,3277,Medium,Frequent
41,61425,1582,High,Occasional
34,34129,1630,Medium,Occasional
31,46086,2230,Medium,Frequent
49,41637,1439,High,Frequent
18,84791,941,High,Frequent
46,52075,1004,High,Occasional
30,81367,1128,High,Frequent
39,72082,1163,High,Occasional
53,106072,1928,High,Frequent
33,30411,1252,High,Frequent
35,85184,1933,High,Occasional
30,82928,1119,High,Occasional
17,40532,1279,High,Frequent
36,80142,50,Medium,Frequent
50,66722,2116,Medium,Frequent
29,55450,1546,High,Frequent
37,43521,2198,High,Frequent
41,45617,50,High,Frequent
30,100996,3288,Medium,Frequent
33,60013,1060,Medium,Occasional
36,75642,2308,Medium,Rare
47,44182,160,High,Frequent
33,44402,1813,Low,Occasional
36,81639,147,Medium,Occasional
35,33008,576,High,Frequent
28,51695,3114,Low,Frequent
19,60680,1009,Medium,Rare
36,62227,1417,Medium,Frequent
49,56418,2070,High,Occasional
39,67916,1696,High,Occasional
32,73857,1350,High,Frequent
40,74692,1565,Medium,Occasional
25,40283,3603,Medium,Occasional
22,54316,1142,Medium,Frequent
40,83895,1401,Low,Frequent
32,77892,2251,High,Frequent
47,32542,2306,Low,Frequent
24,67029,2387,High,Rare
25,20435,1839,Medium,Frequent
42,60938,57,High,Occasional
47,97955,2833,Medium,Occasional
33,41042,54,Low,Occasional
45,43313,1503,Medium,Frequent
49,75280,446,High,Frequent
26,29143,1136,Low,Frequent
32,47344,1529,Medium,Occasional
44,71928,1521,Medium,Occasional
38,47314,1622,Medium,Frequent
24,55280,2814,High,Frequent
45,74883,1654,Medium,Frequent
21,68430,956,Medium,Occasional
43,65336,2164,High,Occasional
53,53217,2389,High,Occasional
39,67401,50,High,Occasional
43,57525,1797,Medium,Frequent
45,69156,1901,Medium,Frequent
21,50061,902,Medium,Frequent
45,56348,2576,High,Frequent
33,40200,1050,Low,Occasional
29,59299,1326,High,Frequent
43,43779,1027,High,Occasional
36,37719,1216,Medium,Rare
37,65173,104,High,Frequent
45,64254,50,Medium,Occasional
43,75657,2795,High,Occasional
34,51377,353,Medium,Frequent
41,68161,209,Medium,Rare
34,71015,50,Medium,Frequent
26,68895,561,High,Occasional
36,43486,50,Medium,Rare
39,62987,2842,Low,Occasional
48,67282,2210,Medium,Frequent
25,60143,512,Medium,Frequent
42,18270,3452,Low,Frequent
46,63209,2182,Medium,Occasional
44,104250,875,Medium,Frequent
53,52799,50,High,Occasional
42,45438,3491,Medium,Frequent
46,67466,50,High,Occasional
45,66247,50,Medium,Occasional
39,83854,2223,Medium,Occasional
27,34842,3640,High,Frequent
30,74627,2584,High,Occasional
45,71808,1764,High,Occasional
41,57157,1795,Medium,Occasional
32,66773,2053,Medium,Frequent
44,80589,1959,High,Occasional
26,77446,1481,Medium,Rare
53,37139,1304,High,Occasional
35,76403,1137,Medium,Frequent
41,58706,446,High,Frequent
25,61457,919,Medium,Frequent
35,61463,50,Medium,Rare
42,56995,1102,Medium,Occasional
25,83834,211,Medium,Frequent
34,58325,96,Medium,Frequent
45,37609,1380,Medium,Frequent
43,52129,2592,Medium,Frequent
24,63573,2118,High,Rare
31,84584,50,Medium,Rare
32,72061,210,Medium,Frequent
44,42989,2141,Medium,Occasional
27,109703,218,High,Occasional
28,65295,975,High,Frequent
30,85507,1750,Medium,Frequent
49,56965,232,Medium,Frequent
30,70667,1305,High,Frequent
21,76789,50,High,Frequent
60,84363,599,High,Frequent
43,81147,1520,High,Frequent
43,77443,50,High,Occasional
57,53698,1640,High,Rare
47,48565,1180,Medium,Frequent
29,66652,1752,High,Rare
51,78662,1424,High,Frequent
52,55545,2564,Medium,Occasional
48,81303,1325,Medium,Occasional
34,89052,771,Low,Occasional
41,41673,1322,Medium,Frequent
38,43261,1743,High,Frequent
36,57192,1249,Medium,Occasional
33,66152,1241,Medium,Frequent
54,49508,498,High,Frequent
43,87044,537,High,Occasional
51,68481,50,High,Frequent
43,60788,2950,Medium,Frequent
27,31281,50,Medium,Frequent
36,33683,507,Medium,Frequent
44,65620,482,Medium,Rare
32,17348,2095,High,Frequent
30,80252,905,Medium,Frequent
19,56836,2448,Medium,Rare
29,124861,527,High,Frequent
38,106158,1479,Medium,Frequent
29,56371,365,Medium,Frequent
24,57873,3345,High,Frequent
30,79911,50,Medium,Occasional
19,94063,1510,Medium,Occasional
24,27239,1834,Medium,Frequent
55,24272,1614,High,Occasional
22,47559,1015,Medium,Occasional
42,71654,1070,Medium,Occasional
40,69937,1244,Medium,Frequent
39,81395,1053,High,Frequent
46,36006,2164,Medium,Occasional
53,13677,3411,High,Frequent
38,77160,643,Medium,Frequent
54,43436,50,High,Frequent
22,19630,1112,Medium,Frequent
29,62901,3780,Medium,Frequent
34,75863,396,High,Occasional
45,57558,2839,High,Frequent
46,50843,2878,High,Occasional
37,56812,646,High,Rare
33,52588,1769,Medium,Occasional
28,33039,2828,Low,Occasional
40,45706,821,High,Frequent
39,70425,996,High,Occasional
33,66433,618,High,Frequent
32,63361,185,Medium,Rare
39,40097,551,High,Frequent
35,56369,50,Medium,Frequent
43,16458,1234,Medium,Rare
43,63569,430,Medium,Occasional
47,88577,1434,Low,Rare
58,30517,50,High,Occasional
36,48281,1531,Medium,Rare
23,66582,2034,High,Rare
46,85056,50,Medium,Rare
50,51035,1574,High,Occasional
31,46154,2428,Low,Rare
51,20621,50,High,Occasional
39,62068,2873,High,Occasional
39,100841,1619,Medium,Occasional
40,65547,495,Low,Occasional
29,59554,1144,Low,Frequent
38,66441,1758,Low,Occasional
35,59778,1276,Medium,Frequent
20,43739,1739,Medium,Frequent
49,76465,279,High,Occasional
31,64515,1369,Medium,Frequent
37,60352,50,Medium,Occasional
31,40492,1089,Low,Frequent
32,86070,296,Low,Frequent
31,73294,464,Medium,Occasional
33,48941,2436,Medium,Occasional
38,80036,2291,Medium,Frequent
48,50048,1809,High,Rare
39,44359,108,Medium,Rare
28,44805,884,High,Occasional
50,24578,2413,High,Frequent
56,69430,1342,High,Frequent
48,23377,3519,High,Occasional
41,35431,1593,Medium,Frequent
28,18488,1392,High,Frequent
21,58278,891,Medium,Occasional
27,56993,1334,Medium,Frequent
50,53466,1048,High,Occasional
40,39148,1908,Medium,Frequent
40,36555,2157,Medium,Rare
41,69287,414,Medium,Occasional
43,48988,50,Medium,Frequent
37,66327,50,Medium,Occasional
33,42295,1708,Medium,Occasional
32,63621,97,High,Rare
30,86065,50,Medium,Frequent
27,71723,1589,Medium,Rare
31,51751,3693,Medium,Rare
50,65143,1194,Low,Frequent
29,55186,2038,High,Occasional
46,60157,1282,Medium,Frequent
39,53487,1101,Medium,Frequent
45,56713,2119,Medium,Frequent
43,64241,910,Low,Occasional
40,40132,1467,Medium,Occasional
29,39682,1522,Medium,Occasional
30,32229,532,Medium,Frequent
42,27994,2192,High,Frequent
37,35654,1025,High,Occasional
32,63189,444,Medium,Occasional
37,42144,1737,Medium,Frequent
20,70272,302,Medium,Frequent
45,60694,1228,Medium,Occasional
25,20629,1191,High,Frequent
47,73099,2286,High,Frequent
28,76215,1675,Medium,Rare
50,40122,1175,Low,Rare
42,68403,2018,Low,Frequent
47,42870,2590,Medium,Frequent
24,61953,1758,High,Rare
34,34710,1210,Medium,Occasional
33,24137,50,High,Frequent
38,52343,135,Medium,Occasional
43,57525,895,Medium,Occasional
25,52046,590,High,Frequent
34,36319,1013,Medium,Occasional
27,52002,1257,Low,Occasional
46,65385,1730,Medium,Frequent
23,59102,1130,High,Frequent
35,63650,1687,Medium,Occasional
37,46597,1264,High,Occasional
37,83434,50,Medium,Occasional
47,36476,261,High,Frequent
46,69751,1056,Medium,Occasional
41,83637,50,High,Frequent
25,69618,1800,High,Occasional
47,55949,2731,Medium,Rare
32,49434,2419,High,Frequent
41,80721,987,High,Frequent
36,31540,2691,Medium,Frequent
41,40597,1349,Medium,Frequent
38,52048,863,Medium,Occasional
41,84753,587,Medium,Frequent
33,67595,898,Low,Frequent
37,40639,812,Medium,Occasional
28,53793,1370,Low,Frequent
27,47713,1361,High,Frequent
42,45804,1203,Medium,Frequent
21,79577,1637,Medium,Frequent
29,32565,2391,High,Occasional
43,92175,2150,High,Occasional
45,76564,50,High,Frequent
47,81817,50,High,Frequent
35,50741,2134,Medium,Frequent
43,57001,50,High,Frequent
51,31336,975,High,Frequent
18,49506,50,High,Occasional
36,69873,50,High,Occasional
21,85921,1741,Medium,Frequent
59,37856,1959,High,Rare
26,52689,623,Medium,Rare
34,56974,50,High,Occasional
38,32084,654,High,Frequent
58,71826,1592,High,Frequent
28,45520,50,Medium,Rare
57,56092,1383,High,Frequent
27,50961,1185,Medium,Rare
33,44213,1779,Medium,Occasional
23,59859,1320,High,Occasional
58,55687,227,High,Occasional
47,52562,2397,Medium,Occasional
43,45430,1041,Medium,Frequent
40,66390,1173,High,Frequent
27,93072,267,High,Occasional
32,62797,757,Medium,Occasional
26,79922,315,High,Frequent
47,32195,1027,High,Occasional
43,63155,2912,Medium,Occasional
43,38052,50,Medium,Rare
34,30461,50,Medium,Frequent
60,45212,2671,High,Frequent
57,83837,991,High,Frequent
55,79000,531,High,Occasional
38,64860,2240,Medium,Frequent
20,29345,594,Medium,Frequent
44,56074,3026,Medium,Frequent
46,66034,1878,High,Frequent
26,63510,712,Low,Frequent
32,23124,3357,High,Occasional
46,42193,594,High,Rare
53,58718,1942,High,Frequent
36,70725,1499,Medium,Frequent
46,16077,2502,High,Rare
34,56757,2762,High,Occasional
46,62860,1232,Medium,Rare
44,76992,447,Medium,Frequent
36,73857,1660,High,Rare
38,71651,522,Medium,Occasional
36,44001,3213,Low,Frequent
41,21839,1337,High,Frequent
37,52138,835,High,Occasional
36,80032,1385,Medium,Frequent
29,87869,50,High,Frequent
38,74210,228,Medium,Occasional
28,68586,2400,Medium,Frequent
36,67592,543,Medium,Frequent
44,48877,153,Low,Occasional
26,57398,1737,Low,Frequent
50,93381,2386,Low,Frequent
58,41148,1919,High,Occasional
24,92295,2196,Medium,Frequent
21,53559,443,Medium,Frequent
17,86508,50,Medium,Frequent
39,31863,2701,High,Occasional
34,71718,877,High,Occasional
40,45264,949,Medium,Frequent
39,31694,2528,High,Occasional
38,64370,1756,High,Frequent
19,80189,1656,Medium,Occasional
32,43101,3365,High,Occasional
38,30019,556,Medium,Frequent
44,58163,2128,High,Occasional
37,58251,1257,Medium,Occasional
57,70966,1469,High,Frequent
46,78991,2728,High,Occasional
47,58811,1708,High,Occasional
44,97110,1738,High,Frequent
46,64484,2273,High,Frequent
26,53071,835,High,Rare
18,27768,361,Medium,Frequent
38,54746,155,Medium,Frequent
24,53272,50,High,Occasional
21,79206,3256,High,Frequent
38,69249,97,Medium,Frequent
39,36412,979,Medium,Rare
31,63445,923,High,Occasional
33,73430,1507,Medium,Frequent
55,90560,2016,High,Frequent
57,77750,2060,High,Frequent
40,75216,617,Medium,Frequent
35,61201,1033,Medium,Frequent
36,67766,1483,Low,Frequent
45,84990,951,High,Occasional
44,33344,2807,High,Frequent
27,53011,1691,High,Frequent
39,44548,1935,High,Frequent
52,67583,1863,High,Frequent
40,84604,2373,Medium,Frequent
24,48060,1381,High,Frequent
26,12193,50,Low,Occasional
47,51755,1600,Medium,Occasional
37,78269,549,High,Rare
39,70752,671,High,Frequent
28,68563,1786,Low,Frequent
30,54400,2438,Low,Occasional
46,34419,1221,Medium,Rare
58,70305,1509,High,Frequent
30,43314,2902,Medium,Frequent
26,103681,1441,Low,Frequent
43,71410,3802,High,Occasional
58,48387,1766,High,Occasional
55,47772,50,High,Frequent
38,58141,1953,Medium,Occasional
24,55209,1581,Medium,Frequent
27,82336,2490,High,Occasional
26,63728,1873,High,Frequent
31,45367,1062,High,Frequent
37,97808,50,Medium,Occasional
32,60986,991,High,Occasional
59,75376,349,High,Occasional
27,47835,619,Medium,Occasional
36,67262,1789,High,Frequent
23,66222,2870,Medium,Frequent
39,22207,1595,Medium,Occasional
48,100305,50,Medium,Rare
50,85812,1645,High,Occasional
56,52056,2397,High,Frequent
38,37954,590,High,Occasional
39,66951,1066,Medium,Frequent
37,61733,1215,Medium,Occasional
30,67113,415,Medium,Occasional
22,63831,1848,Medium,Frequent
32,70124,1079,Medium,Occasional
43,88946,1620,Medium,Occasional
30,71362,313,Medium,Frequent
36,39006,763,Medium,Occasional
46,87251,1922,Medium,Frequent
38,92812,827,High,Frequent
28,123041,2927,Medium,Frequent
40,37530,800,High,Frequent
41,64857,1425,Medium,Frequent
23,18358,2133,High,Frequent
33,71062,50,High,Frequent
37,49035,50,Medium,Rare
40,98468,50,Medium,Frequent
37,44507,2463,Medium,Occasional
37,26216,648,High,Occasional
34,50574,3758,Low,Occasional
44,20490,636,Medium,Frequent
22,75021,1385,Medium,Occasional
44,18698,2742,High,Frequent
40,60569,3206,Medium,Frequent
33,18443,3262,Medium,Occasional
29,53594,2408,Medium,Occasional
41,92867,2224,Medium,Occasional
40,67212,1793,Medium,Frequent
36,42730,1978,High,Occasional
44,59375,649,High,Occasional
45,60360,382,High,Frequent
44,69452,1197,Medium,Rare
39,32662,1030,Low,Frequent
29,71851,747,Medium,Rare
27,5912,1896,Medium,Frequent
38,47402,2155,Medium,Frequent
36,50234,1288,Medium,Occasional
37,72666,2678,High,Rare
46,60452,58,High,Frequent
33,31888,1006,Medium,Rare
28,40300,483,High,Occasional
52,63973,50,High,Frequent
25,58418,1117,Medium,Occasional
28,48417,1078,High,Frequent
29,50383,2713,Medium,Frequent
38,73923,1831,Medium,Occasional
26,49646,176,High,Occasional
25,58238,3054,High,Frequent
43,103398,2421,High,Frequent
39,31526,1782,High,Frequent
37,22963,974,Medium,Occasional
30,75671,241,High,Occasional
23,46427,828,High,Frequent
27,53635,2289,High,Frequent
41,44376,3085,Medium,Occasional
32,54803,2743,High,Frequent
25,91970,711,High,Occasional
49,76042,80,High,Frequent
37,77244,1341,Medium,Occasional
38,31675,50,Medium,Occasional
37,36976,1523,Medium,Frequent
43,5000,1052,High,Occasional
31,43812,734,High,Occasional
29,79134,50,Medium,Rare
44,70338,1714,High,Frequent
33,55569,667,Low,Frequent
33,59553,50,Medium,Frequent
43,46222,50,Medium,Rare
39,64095,1172,Medium,Frequent
47,75317,2972,High,Occasional
42,27682,2861,Medium,Frequent
29,65992,743,Medium,Rare
36,78648,598,High,Occasional
47,51697,1669,Medium,Occasional
36,74014,202,Medium,Rare
29,116293,1502,High,Frequent
37,57913,1966,Medium,Frequent
46,67866,2427,Medium,Frequent
38,45238,1100,High,Frequent
29,63625,996,Low,Frequent
39,69205,322,High,Occasional
48,63896,373,High,Occasional
44,39606,974,Medium,Occasional
32,64127,1567,Medium,Frequent
43,89243,2114,High,Frequent
40,68972,397,High,Occasional
39,79239,2693,Medium,Occasional
47,55259,929,High,Occasional
49,74998,1179,High,Frequent
33,65585,453,High,Frequent
39,40981,50,Medium,Frequent
34,66370,2084,High,Occasional
21,40166,1937,Medium,Frequent
49,47342,919,High,Occasional
42,63786,1267,High,Occasional
31,65944,1716,High,Frequent
28,36215,50,Low,Frequent
36,81079,671,High,Frequent
41,71440,1994,Low,Occasional
39,45905,50,Medium,Frequent
51,29248,1494,High,Occasional
23,57101,50,High,Frequent
37,51081,1666,Medium,Occasional
33,62262,1164,Medium,Frequent
42,52737,50,High,Occasional
43,19850,2365,Medium,Rare
35,52233,465,Medium,Rare
31,53887,390,Medium,Occasional
41,72673,1401,High,Frequent
36,46036,2349,Medium,Occasional
59,93573,184,High,Frequent
42,21767,1262,Medium,Occasional
33,86223,1629,High,Occasional
36,55513,1893,Low,Frequent
34,77191,1376,Medium,Occasional
47,61596,833,High,Occasional
47,82791,372,Medium,Frequent
33,52252,1286,Medium,Frequent
19,38027,128,Medium,Frequent
37,88410,50,Low,Occasional
24,57730,1637,High,Frequent
50,64431,2104,High,Frequent
25,84695,50,Medium,Frequent
31,39360,190,Medium,Occasional
27,71909,1819,High,Rare
40,48202,3257,Medium,Frequent
51,57356,1221,High,Frequent
34,61445,472,Medium,Frequent
40,29995,1017,High,Frequent
31,44423,2575,High,Occasional
41,87021,554,Medium,Occasional
33,77723,401,Low,Frequent
40,58747,717,Medium,Frequent
47,64862,247,Medium,Frequent
45,54115,1323,Medium,Frequent
44,87131,2825,High,Occasional
60,55992,1523,High,Frequent
57,64636,948,High,Frequent
38,82920,908,Medium,Frequent
32,44452,50,Medium,Frequent
26,91175,2083,High,Frequent
47,29390,1122,Low,Rare
37,92592,1020,Medium,Rare
37,52546,4393,Medium,Frequent
34,55146,1499,Low,Occasional
37,22199,448,Medium,Frequent
33,50904,774,High,Occasional
43,39203,2348,High,Frequent
34,47847,1313,High,Occasional
39,57253,50,Medium,Occasional
26,79155,2119,High,Occasional
57,64152,532,High,Occasional
42,66153,3073,Medium,Occasional
34,38089,2280,High,Occasional
44,42384,753,Medium,Occasional
33,95974,2481,Medium,Occasional
42,45295,1268,High,Occasional
38,93124,2053,Medium,Frequent
31,55138,1685,Medium,Rare
26,60045,354,High,Occasional
28,81407,556,Low,Rare
55,85437,2230,High,Frequent
34,57783,865,High,Frequent
22,52235,796,Medium,Occasional
20,58881,245,High,Frequent
30,66759,1624,High,Occasional
48,77826,3263,Low,Frequent
29,60084,132,Low,Rare
44,72377,1224,Low,Frequent
33,92767,2612,Medium,Occasional
24,67626,1120,High,Rare
45,66233,1652,High,Frequent
37,29621,138,High,Occasional
31,7385,1628,High,Frequent
31,67767,1013,High,Occasional
35,58103,2186,Medium,Occasional
26,49704,2387,High,Occasional
37,64870,3790,Medium,Occasional
40,58791,1780,High,Frequent
34,82555,1526,High,Occasional
26,61722,1394,High,Frequent
41,45061,847,Medium,Rare
41,79803,1538,High,Frequent
37,55657,905,Medium,Occasional
45,70530,1368,Medium,Occasional
40,50451,2518,Medium,Occasional
37,47003,193,Medium,Frequent
39,61683,2340,Low,Frequent
31,60256,2517,Medium,Frequent
39,69596,1082,High,Occasional
46,54627,50,Medium,Frequent
44,23272,592,Medium,Frequent
30,51344,2497,Low,Occasional
31,75876,1177,Medium,Frequent
23,54052,201,Medium,Frequent
59,55072,695,High,Frequent
40,79727,2041,High,Frequent
43,45760,1747,High,Occasional
49,29143,961,Medium,Frequent
41,56787,833,High,Occasional
46,50316,808,Low,Frequent
24,40675,278,High,Frequent
38,56492,2815,High,Occasional
56,69830,878,High,Occasional
44,59814,2417,High,Occasional
36,66139,2721,High,Occasional
56,96268,2198,High,Frequent
30,53142,768,Medium,Frequent
46,65566,1604,Medium,Frequent
27,49815,1176,High,Frequent
21,43072,296,High,Frequent
31,48301,1524,Medium,Occasional
32,50424,50,Medium,Occasional
45,67189,2388,High,Frequent
41,106981,735,Medium,Frequent
21,45679,1401,High,Frequent
45,51667,1483,Medium,Rare
50,58737,941,Medium,Occasional
27,67915,1787,Medium,Occasional
35,65271,725,Medium,Occasional
25,85681,2071,Medium,Frequent
37,11472,50,Medium,Occasional
44,12261,1326,High,Occasional
41,50082,3139,Medium,Rare
28,81946,200,Medium,Rare
22,28687,522,Medium,Frequent
45,5000,1714,High,Frequent
34,71423,1380,Low,Frequent
56,64873,1551,High,Rare
32,38195,1689,High,Occasional
40,40289,1835,High,Occasional
56,40605,2310,High,Frequent
27,62210,1610,High,Frequent
41,47473,959,High,Occasional
40,69881,1873,Medium,Occasional
31,5000,3100,Medium,Frequent
55,42862,1067,High,Occasional
48,37478,225,High,Occasional
36,54873,2307,Medium,Rare
43,49239,1080,High,Frequent
27,75956,50,Low,Occasional
33,22813,2047,High,Occasional
30,60909,665,Medium,Occasional
32,71166,1109,Medium,Frequent
45,97132,1532,Medium,Rare
31,50364,1390,Low,Occasional
38,66489,1909,Medium,Occasional
43,23922,765,High,Frequent
38,12160,1713,Medium,Frequent
45,76895,940,Medium,Frequent
42,59888,1939,Low,Occasional
54,83570,1815,High,Frequent
31,32531,265,High,Occasional
37,70398,2286,Medium,Occasional
27,97376,664,High,Frequent
27,68394,2008,High,Occasional
39,65531,1567,Low,Frequent
26,60171,3038,Low,Occasional
40,28582,977,Medium,Rare
48,87111,851,High,Frequent
59,47782,1181,High,Frequent
33,70089,897,Medium,Frequent
38,28739,2000,High,Frequent
52,36410,50,High,Frequent
22,88701,146,Medium,Frequent
23,53053,132,High,Frequent
36,89065,2150,Medium,Frequent
28,58435,2911,High,Frequent
20,23162,1096,Medium,Frequent
43,77841,1031,Medium,Frequent
55,48202,1270,High,Frequent
27,73973,2362,High,Occasional
33,60504,273,Low,Frequent
17,29137,1438,High,Frequent
51,63285,2175,High,Frequent
40,103924,1701,High,Occasional
53,69859,1390,High,Occasional
46,58849,2201,Medium,Frequent
43,81506,50,Medium,Frequent
26,64213,1878,Medium,Occasional
58,64190,546,High,Occasional
33,38167,50,Medium,Occasional
26,64676,1711,Medium,Rare
36,80708,2574,Medium,Frequent
35,43278,1063,High,Occasional
38,88489,2153,High,Occasional
35,58165,2812,Medium,Occasional
39,42244,2515,High,Frequent
37,79952,2840,High,Occasional
45,54264,1942,High,Occasional
23,75190,1275,High,Occasional
33,54164,50,Medium,Occasional
41,58803,954,High,Occasional
50,69871,357,High,Frequent
49,65817,3371,High,Occasional
41,20089,1024,Medium,Frequent
45,37575,1323,High,Frequent
40,78588,1751,Medium,Occasional
34,57357,1244,Medium,Occasional
32,49525,2895,Low,Occasional
26,32828,577,Medium,Frequent
38,38405,1395,Medium,Occasional
48,19564,458,Low,Frequent
36,57974,50,Low,Occasional
27,48031,588,Medium,Occasional
26,40668,1163,Low,Occasional
53,58637,771,High,Occasional
52,67279,508,High,Frequent
62,101863,50,High,Frequent
25,29762,1117,Medium,Frequent
23,83187,50,Medium,Occasional
46,79462,1960,Medium,Frequent
31,44418,1282,Medium,Occasional
52,64064,50,High,Frequent
60,50847,891,High,Occasional
46,63713,448,Medium,Frequent
48,90182,1519,High,Occasional
34,72112,2540,Medium,Frequent
49,70172,50,Medium,Frequent
47,51393,1315,High,Occasional
34,30318,1040,High,Occasional
29,55830,1871,Medium,Frequent
43,84132,1413,Medium,Occasional
32,29456,448,Medium,Occasional
47,38898,881,High,Frequent
34,62525,404,Low,Occasional
30,40306,2276,Medium,Occasional
37,44149,1221,High,Occasional
34,51528,3101,High,Frequent
17,32687,1139,Medium,Frequent
30,40517,492,High,Occasional
